hanzi,pinyin,definition,frequency,HSKlevel,state
嗽,sòu,"cough, gargle, clear throat",2815,4,2
挟,xié,clasp under arm; hold to bosom,2816,,0
缸,gāng,"earthen jug, crock, cistern",2817,,0
揉,róu,"rub, massage; crush by hand",2818,6,1
腻,nì,"greasy, oily, dirty; smooth",2819,6,0
驯,xún,"tame, docile, obedient",2820,,0
缆,lǎn,"hawser, heavy-duty rope, cable",2821,,0
晌,shǎng,"noon, midday; moment; unit land measurement equal to seven mou (畝), or the area that can be sown in one day",2822,,0
瘫,tān,"paralysis, palsy, numbness",2823,6,0
贮,zhù,"store, stockpile, hoard",2824,,0
觅,mì,seek; search,2825,6,0
朦,méng,condition or appearance of moon,2826,,0
僻,pì,"out-of-the-way, remote; unorthodox",2827,6,0
隋,suí,Sui dynasty; surname,2828,,0
蔓,màn,"creeping plants, tendrils, vines",2829,6,0
咋,zǎ,"question-forming particle, why? how? what?; to bite; loud",2830,6,0
嵌,qiàn,"inlay, set in; fall into; rugged",2831,6,0
虔,qián,act with reverence; reverent,2832,,0
畔,pàn,boundary path dividing fields,2833,6,0
琐,suǒ,"trifling, petty; troublesome",2834,,0
碟,dié,"small dish, plate",2835,,0
涩,sè,"astringent; harsh; uneven, rough",2836,6,0
胧,lóng,condition or appearance of moon,2837,,0
嘟,dū,sound of horn tooting,2838,,0
蹦,bèng,"hop, leap, jump; bright",2839,6,0
冢,zhǒng,"burial mound, mausoleum; grand",2840,,0
浏,liú,clear; bright; whistling,2841,5,0
裔,yì,"progeny, descendants, posterity",2842,5,0
襟,jīn,"lapel, collar",2843,,0
叨,dāo,talkative; quarrelous,2844,6,0
诀,jué,"take leave of, bid farewell",2845,,0
旭,xù,rising sun; brilliance; radiant,2846,,0
虾,xiā,"shrimp, prawn",2847,,1
簿,bù,"register, account book, notebook",2848,,0
啤,pí,beer,2849,3,2
擒,qín,"catch, capture, seize, arrest",2850,,0
枣,zǎo,"date tree; dates, jujubes; surname",2851,,0
嘎,gā,"sound of laughter; bad, malevolent",2852,,0
苑,yuàn,"pasture, park, garden; mansion",2853,,0
牟,móu,"make; seek, get; barley; low",2854,,0
呕,ǒu,"vomit; annoy, enrage",2855,6,0
骆,luò,a white horse with black mane; a camel,2856,,0
凸,tū,"protrude, bulge out, convex",2857,6,0
熄,xī,"put out, extinguish, quash",2858,6,0
兀,wù,to cut off the feet,2859,,0
喔,ō,descriptive of crying or of crowing,2860,,0
裳,shang,clothes; skirt; beautiful,2861,6,0
凹,āo,"concave, hollow, depressed; a pass, valley",2862,6,0
赎,shú,"buy, redeem; ransome; atone for",2863,,0
屯,tún,"village, hamlet; camp; station",2864,,0
膛,táng,"chest; hollow space, cavity",2865,6,0
浇,jiāo,"spray, water, sprinkle",2866,5,0
灼,zhuó,burn; broil; cauterize; bright,2867,,0
裘,qiú,fur garments; surname,2868,,0
砰,pēng,"sound of crashing stones, bang!",2869,,0
棘,jí,"jujube tree; thorns, brambles",2870,,0
橡,xiàng,chestnut oak; rubber tree; rubber,2871,4,2
碱,jiǎn,"alkaline, alkali, lye, salt",2872,,0
聋,lóng,deaf,2873,6,0
姥,lǎo,maternal grandmother; midwife,2874,5,0
瑜,yú,flawless gem or jewel,2875,,0
毋,wú,do not; not; surname; rad. 80,2876,,0
娅,yà,mutual term of address used by sons-in-law; a brother-in-law,2877,,0
沮,jǔ,"stop, prevent; defeated, dejected",2878,6,0
萌,méng,"bud, sprout",2879,6,0
俏,qiào,"like, similar; resemble; pretty",2880,,0
黯,àn,"dark, black; sullen, dreary",2881,,0
撇,piē,"discard, abandon, throw away",2882,6,0
粟,sù,unhusked millet; grain,2883,,0
粪,fèn,"manure, dung, shit, excrement, night soil",2884,,0
尹,yǐn,govern; oversee; director,2885,,0
苟,gǒu,"careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name; distinguish DKW 30853 (ji4)",2886,6,0
癫,diān,"crazy, mad; madness, mania, insan",2887,,0
蚂,mǎ,ant; leech,2888,6,0
禹,yǔ,legendary hsia dynasty founder,2889,,0
廖,liào,surname; name of an ancient state,2890,,0
俭,jiǎn,"temperate, frugal, economical",2891,6,0
帖,tiē,invitation card; notice,2892,6,1
煎,jiān,fry in fat or oil; boil in water,2893,6,0
缕,lǚ,"thread; detailed, precise",2894,,0
窦,dòu,"surname; hole, burrow; corrupt",2895,,0
簇,cù,"swarm, crowd together, cluster",2896,,0
棱,léng,"squared timber; angle, edge",2897,,0
叩,kòu,"knock, ask; kowtow, bow",2898,,0
呐,nà,"raise voice, yell out loud, shout; stammer",2899,,0
瑶,yáo,precious jade,2900,,0
墅,shù,"villa, country house",2901,6,0
莺,yīng,"oriole, green finch; Sylvia species (various)",2902,,0
烫,tàng,"scald, heat; wash; iron clothes",2903,5,0
蛙,wā,frog,2904,,0
歹,dǎi,"bad, vicious, depraved, wicked",2905,6,0
伶,líng,"lonely, solitary; actor",2906,6,0
葱,cōng,"scallions, leeks, green onions",2907,,0
哮,xiāo,cough; pant; roar,2908,,0
眩,xuàn,"to confuse; dizzy, dazed, disoriented",2909,,0
坤,kūn,"earth; feminine, female",2910,,0
廓,kuò,"broad, wide, open, empty; to expand",2911,6,0
讳,huì,conceal; shun; regard as taboo,2912,6,0
啼,tí,"weep, whimper; howl, twitter",2913,,0
乍,zhà,"first time, for the first time",2914,,1
瓣,bàn,petal; segment; valves,2915,6,0
矫,jiǎo,"correct, rectify, straighten out",2916,,0
跋,bá,"go by foot; epilogue, colophon",2917,,0
枉,wǎng,"useless, in vain; bent, crooked",2918,6,1
梗,gěng,"stem of flower, branch of plant",2919,,0
厕,cè,"mingle with; toilet, lavatory",2920,4,2
琢,zuó,polish jade; cut jade,2921,6,0
讥,jī,"ridicule, jeer, mock; inspect",2922,6,0
釉,yòu,glaze,2923,,0
窟,kū,"hole, cave; cellar; underground",2924,,0
敛,liǎn,"draw back, fold back; collect",2925,,0
轼,shì,horizontal wooden bar in front,2926,,0
庐,lú,"hut, cottage; name of a mountain",2927,,0
胚,pēi,embryo; unfinished things,2928,,0
呻,shēn,"groan, moan; recite with intonation",2929,6,0
绰,chuò,"graceful, delicate; spacious",2930,,0
扼,è,"grasp, clutch; choke, strangle",2931,,0
懿,yì,"virtuous, admirable, esteemed",2932,,0
炯,jiǒng,"bright, brilliant, clear; hot",2933,,0
竿,gān,bamboo pole; penis,2934,,0
慷,kāng,"ardent; generous, magnanimous",2935,6,0
虞,yú,"concerned about, anxious, worried",2936,,0
锤,chuí,balance weight on scale; hammer,2937,6,0
栓,shuān,"wooden peg, post or stick",2938,,0
桨,jiǎng,"oar, paddle",2939,6,0
蚊,wén,mosquito; gnat,2940,,1
磅,bàng,pound; weigh,2941,6,0
孽,niè,evil; son of concubine; ghost,2942,,0
惭,cán,"ashamed, humiliated; shameful",2943,5,0
戳,chuō,"prick, stab; stamp, seal, chop",2944,,0
禀,bǐng,"report to, petition",2945,,0
鄂,è,Hubei province; startled,2946,,0
馈,kuì,offer food superior; send gift,2947,6,0
垣,yuán,low wall,2948,,0
溅,jiàn,"sprinkle, spray; spill, splash",2949,6,0
咚,dōng,"onomatopoetic, a thumping sound",2950,,0
钙,gài,calcium,2951,6,0
礁,jiāo,reef; jetty; submerged rocks,2952,,0
彰,zhāng,"clear, manifest, obvious",2953,6,0
豁,huō,"open up, clear; exempt",2954,,0
眯,mī,be blinded,2955,6,0
磷,lín,phosphorus; water rushing between,2956,,0
雯,wén,"cloud patterns, coloring of cloud",2957,,0
墟,xū,high mound; hilly countryside; wasteland,2958,6,0
迂,yū,"doctrinaire, abstruse, unrealistic",2959,,0
瞻,zhān,look; look out for; respect,2960,6,0
颅,lú,skull,2961,,0
琉,liú,"sparkling stone; glazed, opaque",2962,,0
悼,dào,"grieve, mourn, lament; grieved",2963,6,0
蝴,hú,butterfly,2964,5,0
拣,jiǎn,choose; select; pick up; gather,2965,6,0
渺,miǎo,"endlessly long, boundless, vast",2966,6,0
眷,juàn,"take interest in, care for",2967,,0
悯,mǐn,"pity, sympathize with, grieve for",2968,,0
汰,tài,"excessive; scour, wash out",2969,6,0
慑,shè,"afraid, scared, fearful",2970,,0
婶,shěn,,2971,,0
斐,fěi,"graceful, elegant, beautiful",2972,,0
嘘,xū,exhale; blow out; deep sigh; hiss; praise,2973,,0
镶,xiāng,"insert, inlay, set, mount; fill",2974,6,0
炕,kàng,the brick-bed in northern China,2975,,0
宦,huàn,"officialdom, government official",2976,,0
趴,pā,"lying prone, leaning over",2977,6,0
绷,běng,"bind, draw firmly, strap",2978,,0
窘,jiǒng,embarrassed; hard-pressed,2979,,0
襄,xiāng,"aid, help, assist; undress",2980,,0
珀,pò,amber,2981,,0
嚣,xiāo,be noisy; treat with contempt,2982,,0
拚,pàn,"risk, disregard; go all out for",2983,,0
酌,zhuó,serve wine; feast; deliberate,2984,6,0
浊,zhuó,"muddy, turbid, dirty, filthy",2985,6,0
毓,yù,"give birth to; bring up, educate",2986,,0
撼,hàn,"move, shake; (Cant.) to fight",2987,6,0
嗜,shì,"be fond of, have weakness for",2988,,0
扛,káng,carry on shoulders; lift,2989,6,0
峭,qiào,"steep, precipitous, rugged",2990,6,0
磕,kē,"hit; collide, knock into; sound",2991,6,0
翘,qiào,"turn up, lift, elevate, raise",2992,6,0
槽,cáo,"trough; manger; vat, tank; groove; a distillery",2993,,0
淌,tǎng,trickle; flow down; drip,2994,,0
栅,zhà,fence; palisade; grid,2995,,0
颓,tuí,"ruined, decayed; disintegrate",2996,,0
熏,xūn,"smoke, fog, vapor; smoke, cure",2997,6,0
瑛,yīng,luster of gem; crystal,2998,,0
颐,yí,cheeks; jaw; chin; rear; to nourish,2999,,0
忖,cǔn,"guess, suppose, conjecture",3000,,0
麼,me,,,,0
枫,fēng,,,,0
潇,xiāo,,,,0
嵩,sōng,,,,0
芷,zhǐ,,,,0
倪,ní,,,,0
俞,Yú,,,,0
舵,duò,,,,0
嗤,chī,,,,0
凛,lǐn,,,,0
嫣,yān,,,,0
淳,chún],,,,0
沐,mù,,,,0
粞,xī,,,,0
酱,jiàng,,,,0
筷,kuài,,3110,3,2
淀,diàn,,,,0
抒,shū,,,,0
乒,pīng,,3447,4,2
廿,niàn,,,,0
禾,hé,,,,0
梨,lí,,,,0
辫,biàn,,,,0
氓,máng,,,,0
婿,xù,,,,0
寥,liáo,,,,0
乓,pāng,,3502,4,2
醋,cù,,,,0
粥,zhōu,,,,0
宵,xiāo,,,,0
锣,lluó,,,,0
嗦,suō,,,,0
憋,biē,,,,0
捂,wǔ,,,,0
熔,róng,,,,0
崭,zhǎn,,,,0
瀑,pù,,,,0
扒,bā,,,,0
琛,chēn,,,,0
蕉,jiao1,"banana, plantain",3104,3,2
饺,jiao3,studded dumpling,3650,4,2
柿,shi4,persimmon,3355,4,2
勺,shao2,laddle,3275,4,2
袜,wa4,sock,3045,4,2
荤,hun1,meat,,,0
